preprocessedTweets	Polarity	cleanTweet	sentiment_score
لاہوررپورٹ شہادت کے طور پر پيش نہيں کي جا سکتي،رانا ثناء اللہ	O	لاہوررپورٹ شہادت پيش نہيں کي جا سکتي،رانا ثناء اللہ	-2
اظہر علي کو اوپنر کي بجائے تيسرے نمبر پر کھيلانے کا فيصلہ کس کا تھا؟	O	اظہر علي اوپنر کي بجائے تيسرے نمبر کھيلانے فيصلہ کس تھا؟	1
مزيد تفصيلات کے لئے لنک پرکلک کريں	O	مزيد تفصيلات لنک پرکلک کريں	0
زرداري نے پاکستان کھپے کا نعرہ لگايا اور ميں نے جمہوريت بہترين انتقام کا ،بلاول	P	زرداري پاکستان کھپے نعرہ لگايا ميں جمہوريت بہترين انتقام ،بلاول	-2
پشاور حملہ خون، گوليوں کے نشانات اور بکھرے بستر	N	پشاور حملہ خون، گوليوں نشانات بکھرے بستر	-2
سپريم کورٹ نے حديبہ پيپرز ملز کيس سماعت کيلئے مقرر کرديا  اسلام آبادسپريم کورٹ کارکني بينچ نومبرکوسماعت کرےگا	O	سپريم کورٹ حديبہ پيپرز ملز کيس سماعت کيلئے مقرر کرديا اسلام آبادسپريم کورٹ کارکني بينچ نومبرکوسماعت کرےگا	0
فيض آباد پر ناکہ نہيں ہانکہ لگا ہوا ہے	N	فيض آباد ناکہ نہيں ہانکہ لگا	-1
کراچيگٹکےکيخلافماہ سے کريک ڈاؤن جاري ہے ، پوليس رپورٹ فيلڈاسٹاف کوکارروائي کي ہدايات جاري کردي ہيں،ڈي آئي جي ويسٹ	N	کراچيگٹکےکيخلافماہ کريک ڈاؤن جاري ، پوليس رپورٹ فيلڈاسٹاف کوکارروائي کي ہدايات جاري کردي ہيں،ڈي آئي جي ويسٹ	0
سردہوائيں اور جلد کي حفاظت	O	سردہوائيں جلد کي حفاظت	2
بھٹوکوپھانسي دےکرسمجھاگياپيپلزپارٹي ختم ہوگئي، بينظيربھٹو پرويز مشرف کي منافقانہ پاليسيوں کي مخالفت کرتي رہيں، زردا…	N	بھٹوکوپھانسي دےکرسمجھاگياپيپلزپارٹي ختم ہوگئي، بينظيربھٹو پرويز مشرف کي منافقانہ پاليسيوں کي مخالفت کرتي رہيں، زردا…	-1
فخر زمان ٹيسٹ سيريز ميں شکست کا بدلہ لينا چاہتے ہيں؟	P	فخر زمان ٹيسٹ سيريز ميں شکست بدلہ لينا چاہتے ہيں؟	-4
وزيراعظم فوري وزيرقانون زاہدحامدکي برطرفي کا اعلان کريں،چوہدري شجاعت  مزيد پڑھيں	O	وزيراعظم فوري وزيرقانون زاہدحامدکي برطرفي اعلان کريں،چوہدري شجاعت مزيد پڑھيں	1
پي پي جلسے کے فضائي مناظر <><+><+><><+><+>	O	پي پي جلسے فضائي مناظر	0
دونوں افسران ڈونگي گراؤنڈسمن آباد ميں شادي کي تقريب کي سرپرستي کرتےرہے،درخواستگزار	N	دونوں افسران ڈونگي گراؤنڈسمن آباد ميں شادي کي تقريب کي سرپرستي کرتےرہے،درخواستگزار	1
انٹيلي جنس آپريشنزسےگزشتہ سال  ميں حاصل کاميابيوں کومستحکم کياجائےگا،وزيراعظم	P	انٹيلي جنس آپريشنزسےگزشتہ سال ميں حاصل کاميابيوں کومستحکم کياجائےگا،وزيراعظم	1
قطري شہزادےشکارکي تلاش ميں پاکستان آئےہوں گے،محمودالرشيد لاہورہوسکتا ہےمياں صاحب کومنانےآئےہوں،مياں محمودالرشيد	P	قطري شہزادےشکارکي تلاش ميں پاکستان آئےہوں گے،محمودالرشيد لاہورہوسکتا ہےمياں صاحب کومنانےآئےہوں،مياں محمودالرشيد	1
لاہوراگلي سماعت ميں  فاسٹ بولر محمد عرفان  کو طلب کيا گيا ہے	O	لاہوراگلي سماعت ميں فاسٹ بولر محمد عرفان طلب کيا گيا	1
باقر نجفي کميشن رپورٹ<><+><+><><+><+>	O	باقر نجفي کميشن رپورٹ	0
بھٹو زندہ تک تو ٹھيک تھا  پر يہ تو بھٹو کا بيڑا غرق ہوا پڑا	N	بھٹو زندہ ٹھيک يہ بھٹو بيڑا غرق پڑا	0
بزدل دشمن ميدان ميں تو ان کا مقابلہ نہيں کر سکتي تھي اس ليے دن دھاڑے ان کو بھي شہيد کر ديا گيا،ا	N	بزدل دشمن ميدان ميں مقابلہ نہيں سکتي تھي ليے دن دھاڑے بھي شہيد ديا گيا،ا	-6
کراچي/ترقياتي و مرمتي کام	P	کراچي/ترقياتي مرمتي کام	1
ہرپاکستاني چاہتاہےملک کوچلنےدياجائےروڑےنہ اٹکائےجائيں،احسن اقبال جوفارمولےاورکي دہائي ميں چلتےتھےميں نہيں چل سکتے،احسن اقبال	O	ہرپاکستاني چاہتاہےملک کوچلنےدياجائےروڑےنہ اٹکائےجائيں،احسن اقبال جوفارمولےاورکي دہائي ميں چلتےتھےميں نہيں چل سکتے،احسن اقبال	2
فلم انڈسٹري کي مکمل بحالي کيليے دماغ لڑانے کي ضرورت ہے، صنم بخاري	P	فلم انڈسٹري کي مکمل بحالي کيليے دماغ لڑانے کي ہے، صنم بخاري	2
نااہل شخص کو پارٹي صدر بنانے کے ليے قانون ميں ترميم کي گئي درخواست گزار	N	نااہل شخص پارٹي صدر بنانے ليے قانون ميں ترميم کي گئي درخواست گزار	0
قيامت کے دن حديث يا کسي بھي اور کتاب کي بجائے اللہ اپني کتاب سے سوال کرے گا …	O	قيامت دن حديث يا کسي بھي کتاب کي بجائے اللہ اپني کتاب سوال …	0
لذيذ اورنج چيز کيک بنانے کي ترکيب جانيں	O	لذيذ اورنج چيز کيک بنانے کي ترکيب جانيں	0
امريکا کے عزائم	N	امريکا عزائم	0
جنرل باجوہ کا وزيراعظم کو ٹيلي فون،’دھرنے کے معاملے کو پرامن طريقے سے حل کيا جائے‘	P	جنرل باجوہ وزيراعظم ٹيلي فون،’دھرنے معاملے پرامن طريقے حل کيا جائے‘	1
انتخابات ترميمي بلکي منظوري سينيٹ کےايجنڈےميں شامل اجلاس ميں نئي حلقہ بنديوں کےبل کي منظوري لي جائے گي	O	انتخابات ترميمي بلکي منظوري سينيٹ کےايجنڈےميں شامل اجلاس ميں نئي حلقہ بنديوں کےبل کي منظوري لي گي	0
ٹلرسن کا محض چار گھنٹے کيليے پاکستان آنے کا مطلب؟	O	ٹلرسن محض چار گھنٹے کيليے پاکستان آنے مطلب؟	0
ن اور پيپلزپارٹي سے تو بالکل بھي انتخابي اتحاد نہيں ہوگا،عمران خان	N	ن پيپلزپارٹي بالکل بھي انتخابي اتحاد نہيں ہوگا،عمران خان	2
عدالت کا حکم تھا رپيورٹ تو تيرا باپ بھي شاعع کرتا  <+>	N	عدالت حکم رپيورٹ تيرا باپ بھي شاعع کرتا	0
سندھ بلڈنگ کنٹرول اتھارٹي ميں خلاف ضابطہ تعيناتياں جاري	N	سندھ بلڈنگ کنٹرول اتھارٹي ميں خلاف ضابطہ تعيناتياں جاري	0
ٹيکنوکريٹ حکومت کي کوي گنجائش نہيں ، عمران خان	N	ٹيکنوکريٹ حکومت کي کوي گنجائش نہيں ، عمران خان	0
پيپلزپارٹي کا جلسہ، کارکنان گتھم گتھا ہوگئے	N	پيپلزپارٹي جلسہ، کارکنان گتھم گتھا	0
حسن خان کپتان،وکٹ کيپرروحيل ناظرکونائب کپتان مقررکياگياہے	O	حسن خان کپتان،وکٹ کيپرروحيل ناظرکونائب کپتان مقررکياگياہے	1
گورنرسندھ محمد زبير اوروزيراعلي<+>  سندھ مردعلي شاہ  تقريب ميں شريک کراچيقائدحزب اختلاف  خورشيد شاہ بھي تقريب ميں موجود	O	گورنرسندھ محمد زبير اوروزيراعلي سندھ مردعلي شاہ تقريب ميں شريک کراچيقائدحزب اختلاف خورشيد شاہ بھي تقريب ميں موجود	1
ماڈل ٹاؤن قتل عام کےدونوں شريف بھائي ذمہ دارہيں،طاہرالقادري	N	ماڈل ٹاؤن قتل عام کےدونوں شريف بھائي ذمہ دارہيں،طاہرالقادري	-1
حيدرآبادريلي کا روٹ تبديل ہونےپرايم کيوايم پاکستان کےکارکنوں کااحتجاج	N	حيدرآبادريلي روٹ تبديل ہونےپرايم کيوايم پاکستان کےکارکنوں کااحتجاج	0
بلھے شاہ کو آج تک دو ہي لوگ سمجھ سکے ہيں<+>  اک بلھا خود اور دوسرے زرداري صاحب<+><+><+> ہُنپُٹلوجوپُٹناجے	O	بلھے شاہ ہي سمجھ سکے ہيں اک بلھا خود دوسرے زرداري صاحب ہُنپُٹلوجوپُٹناجے	2
اس ملک ميں کبھي جمہوريت چلي ہي نہيں<+>بار بار ملڑي آ جاتي ہے<+>ہمارا بڑا مسئلہ يہ ہے کہ ملٹري ڈکٹيٹر جمہوري ليڈر بنن…	N	ملک ميں کبھي جمہوريت چلي ہي نہيںبار بار ملڑي آ جاتي ہےہمارا بڑا مسئلہ يہ ملٹري ڈکٹيٹر جمہوري ليڈر بنن…	-1
شہدا کاخون  آپکو بلا رہا ھے	O	شہدا کاخون آپکو بلا ھے	-2
ڈيرہ اسماعيل خان کے محرم ميں نقارے کي روايت	O	ڈيرہ اسماعيل خان محرم ميں نقارے کي روايت	0
راہول گاندھي کوعہدہ دياجاناايساہي ہےجيسےاورنگزيب کي تخت نشيني،بھارتي وزيراعظم	O	راہول گاندھي کوعہدہ دياجاناايساہي ہےجيسےاورنگزيب کي تخت نشيني،بھارتي وزيراعظم	0
رپورٹ ميں ردوبدل کيا گيا ہے	N	رپورٹ ميں ردوبدل کيا گيا	0
امل حجازي کي گلوکاري سے کنارہ کشي کے بعد پيغمبر اسلام کي مداح سرائي	P	امل حجازي کي گلوکاري کنارہ کشي بعد پيغمبر اسلام کي مداح سرائي	-1
آصف زرداري اور بلاول بھٹو زرداري جلسہ گاہ پہنچ گئے	O	آصف زرداري بلاول بھٹو زرداري جلسہ گاہ پہنچ	1
’’ آج کي اچھي بات<+><+><+> ‘‘	P	’’ کي اچھي بات ‘‘	1
اداروں کي کارکردگي باعث شرم، انگلياں ہم پر اٹھتي ہيں، ارکان اسمبلي	N	اداروں کي کارکردگي باعث شرم، انگلياں اٹھتي ہيں، ارکان اسمبلي	0
“رپورٹ ميں کسي حکومتي شخصيت کو ذمے دار نہيں ٹھہراياگياموقع پر موجود کسي پوليس اہلکار کو بھي ذمے دار نہيں ٹھہرايا گيااس…	O	“رپورٹ ميں کسي حکومتي شخصيت ذمے دار نہيں ٹھہراياگياموقع موجود کسي پوليس اہلکار بھي ذمے دار نہيں ٹھہرايا گيااس…	3
بي بي شہيد آئي پي پيز کے ذريعے بجلي لائيں،بلاول بھٹو زرداري	P	بي بي شہيد آئي پي پيز ذريعے بجلي لائيں،بلاول بھٹو زرداري	0
اسلام آباد آپريشن کے دوران زخمي  افراد کو پمز اسپتال منتقل کر ديا گيا	N	اسلام آباد آپريشن دوران زخمي پمز اسپتال منتقل ديا گيا	1
نيب لاہورکےگواہ مختار احمد کاايون فيلڈ پراپرٹيز ريفرنس ميں  بيان قلمبند	O	نيب لاہورکےگواہ مختار احمد کاايون فيلڈ پراپرٹيز ريفرنس ميں بيان قلمبند	0
کوئٹہسيکريٹري صنعت نورمحمدجوگيزئي کومحکمہ نظم ونسق ميں رپورٹ کرنيکي ہدايت	O	کوئٹہسيکريٹري صنعت نورمحمدجوگيزئي کومحکمہ نظم ونسق ميں رپورٹ کرنيکي ہدايت	0
بے نظير بھٹو نے عوام کے ليے جدوجہد نہيں چھوڑي،بلاول بھٹو زرداري	P	بے نظير بھٹو عوام ليے جدوجہد نہيں چھوڑي،بلاول بھٹو زرداري	0
اسلام آباد نواز شريف سےاسپيکر قومي اسمبلي اياز صادق کي ملاقات اسلام آبادملاقات ميں نئي حلقہ بنديوں سےمتعلق آئيني ترميم پر تبادلہ خيال	O	اسلام آباد نواز شريف سےاسپيکر قومي اسمبلي اياز صادق کي ملاقات اسلام آبادملاقات ميں نئي حلقہ بنديوں سےمتعلق آئيني ترميم تبادلہ خيال	2
باقر نجفي رپورٹ، فرد جرم ہے پنجاب حکومت پر، ڈاکٹر شاہد مسعود      …	N	باقر نجفي رپورٹ، جرم پنجاب حکومت پر، ڈاکٹر شاہد مسعود …	-2
ايک دوسرے کو بچانے کي کوشش کي جارہي تھي<+><+> ماڈل ٹاؤن رپورٹ	N	ايک دوسرے بچانے کي کوشش کي جارہي تھي ماڈل ٹاؤن رپورٹ	0
ڈونلڈ ٹرمپ کي صدارت کے دوران امريکہ ميں فائرنگ کا تيسرا بڑا واقعہ	N	ڈونلڈ ٹرمپ کي صدارت دوران امريکہ ميں فائرنگ تيسرا بڑا واقعہ	1
حکومت کے پاس نہ تو اخلاقي جواز رہا نہ ہي قانوني     …	N	حکومت پاس نہ اخلاقي جواز نہ ہي قانوني …	1
اداکارہ نورنےحجاب لينےاورمذہب کا راستہ اپنانےکي وجہ بتادي	P	اداکارہ نورنےحجاب لينےاورمذہب راستہ اپنانےکي وجہ بتادي	0
’’ آج کي اچھي بات<+><+><+> ‘‘	P	’’ کي اچھي بات ‘‘	1
کيا آپ اپنے بچے کے تعليمي معيار سے مطمئن ہيں؟	O	کيا آپ اپنے بچے تعليمي معيار مطمئن ہيں؟	1
عدالتي حکم کو ماننے ميں تاخير بھي توہين عدالت شمار ہوگي، قاتلوں کيلئے فرار کا کوئي راستہ نہيں<+>  قاتلاعلياست…	N	عدالتي حکم ماننے ميں تاخير بھي توہين عدالت شمار ہوگي، قاتلوں کيلئے فرار کوئي راستہ نہيں قاتلاعلياست…	0
“رپورٹ ميں کسي حکومتي شخصيت کو ذمے دار نہيں ٹھہراياگياموقع پر موجود کسي پوليس اہلکار کو بھي ذمے دار نہيں ٹھہرايا گيااس…	O	“رپورٹ ميں کسي حکومتي شخصيت ذمے دار نہيں ٹھہراياگياموقع موجود کسي پوليس اہلکار بھي ذمے دار نہيں ٹھہرايا گيااس…	3
يہ پنجاب ہے  جہاں پيپلزپارٹي کا نام ليوا نہيں	N	يہ پنجاب جہاں پيپلزپارٹي نام ليوا نہيں	1
نواز شريف پر فليگ شپ ريفرنس ميں بھي فرد جرم عائد	N	نواز شريف فليگ شپ ريفرنس ميں بھي جرم عائد	-2
“کيلبري فونٹ” کےبعد شريف گينگ کاايک اور”بلنڈر”باقرنجفي رپورٹ ميں “ٹيمپرنگ” پکڑي گئيلعنت تم پرقاتلو   …	N	“کيلبري فونٹ” کےبعد شريف گينگ کاايک اور”بلنڈر”باقرنجفي رپورٹ ميں “ٹيمپرنگ” پکڑي گئيلعنت تم پرقاتلو …	0
چين رہائشي وتجارتي عمارت ميں آگ لگنے سے دس افراد ہلاک	N	چين رہائشي وتجارتي عمارت ميں آگ لگنے دس ہلاک	-2
ممبئي کے ايک گھر کي چھت پر تيار ہونے والا طيارہ	O	ممبئي ايک گھر کي چھت تيار ہونے والا طيارہ	0
سوچ بدلنا وقت کي ضرورت ہے	O	سوچ بدلنا وقت کي	-2
ايکسپريس نيوز کي براہ راست نشريات ديکھنے کے ليے لنک پر کلک کريں<+>  …	O	ايکسپريس نيوز کي براہ راست نشريات ديکھنے ليے لنک کلک کريں …	1
جيالوں کا خزانہ بلاول  محبت کا ترانہ بلاول  آصف کا سکوں ہے بلاول  بينظير کي ادا ہے بلاول    …	P	جيالوں خزانہ بلاول محبت ترانہ بلاول آصف سکوں بلاول بينظير کي ادا بلاول …	3
اسلام آبادکيپٹنرصفدراحتساب عدالت پہنچ گئے	O	اسلام آبادکيپٹنرصفدراحتساب عدالت پہنچ	1
ہندو کميونٹي ديوتا گنيش کے اشتہار پر برہم کيوں ہے؟	N	ہندو کميونٹي ديوتا گنيش اشتہار برہم کيوں ہے؟	-2
طاہرالقادري بتائيں پوليس کوحملہ آورہونےکيلئےمظلوموں کواکھٹاکس نےکيا،راناثنااللہ ماڈل ٹاؤن ميں پي اےٹي کي طرف سےلوگو…	N	طاہرالقادري بتائيں پوليس کوحملہ آورہونےکيلئےمظلوموں کواکھٹاکس نےکيا،راناثنااللہ ماڈل ٹاؤن ميں پي اےٹي کي سےلوگو…	0
راناثنا نےکہاکہ طاہرالقادري کومقاصدحاصل کرنے نہيں دينگے ، باقر نجفي رپورٹ	P	راناثنا نےکہاکہ طاہرالقادري کومقاصدحاصل کرنے نہيں دينگے ، باقر نجفي رپورٹ	0
يہ انکي پراني تاريخ ہے،يہ  فاشسٹ ہيں،عمران خان	N	يہ انکي پراني تاريخ ہے،يہ فاشسٹ ہيں،عمران خان	0
لاہور محکمہ زراعت پنجاب پہلي بارپاکستان ہارٹي ايکسپو  کا انعقاد کر رہا ہے، ترجمان	P	لاہور محکمہ زراعت پنجاب پہلي بارپاکستان ہارٹي ايکسپو انعقاد ہے، ترجمان	0
قانون کي نظر ميں جسٹس باقر نجفي کي رپورٹ غير موثر ہے،رانا ثناء اللہ	N	قانون کي نظر ميں جسٹس باقر نجفي کي رپورٹ غير موثر ہے،رانا ثناء اللہ	0
اقتصادي راہداري کےتحت منصوبوں ميں پيشرفت کاجائزہ، ترجمان  درپيش مشکلات اورنئےمنصوبوں کوراہداري کاحصہ بنانےپرغور،ترجمان	P	اقتصادي راہداري کےتحت منصوبوں ميں پيشرفت کاجائزہ، ترجمان درپيش مشکلات اورنئےمنصوبوں کوراہداري کاحصہ بنانےپرغور،ترجمان	0
جوڈيشري کو بے خوف ہونا ہے،چيف جسٹس ثاقب نثار	P	جوڈيشري بے خوف ہونا ہے،چيف جسٹس ثاقب نثار	-1
دنيا ميں ٹرمپ اورغلامانِ مصطفي<+> کے درميان مقابلہ ہے سراج الحق  مزيد پڑھيں	O	دنيا ميں ٹرمپ اورغلامانِ مصطفي درميان مقابلہ سراج الحق مزيد پڑھيں	-2
آخر پاکستاني اسٹيبلشمنٹ کيا چاہتي ہے؟	O	پاکستاني اسٹيبلشمنٹ کيا چاہتي ہے؟	0
آج بينظير بھٹو زندہ ہوتي تو بلاول کو ديکھ کر بہت خوش ہوتيں آصف علي زرداري    …	P	بينظير بھٹو زندہ ہوتي بلاول ديکھ بہت خوش ہوتيں آصف علي زرداري …	1
